label,date,method,window_name,param_name,param_value,scenario,Ecap_kwh,Pbatt_max_kw,soc_min,soc_max,soc0,ramp_p95_kw_target,ramp_p95_kw_actual,throughput_req_kwh,throughput_act_kwh,energy_mismatch_kwh,power_limit_frac,soc_limit_frac,efc_act
cloudy,2024-04-03,EMA,20min,alpha,0.4,small,2000.0,500.0,0.2,0.8,0.5,855.1485803702419,1887.1330954082832,4366.951466731291,2910.928499679979,1456.0229670513108,0.3006993006993007,0.0,0.7277321249199947
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,small,2000.0,500.0,0.2,0.8,0.5,578.2840413984403,1885.999999999999,5430.675293068988,3134.1389801493588,2296.5363129196294,0.3356643356643357,0.22377622377622378,0.7835347450373397
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,small,2000.0,500.0,0.2,0.8,0.5,290.29540581746016,1885.999999999999,7491.931647807789,3428.9792799060237,4062.9523679017625,0.45454545454545453,0.26573426573426573,0.8572448199765059
cloudy,2024-04-03,SMA,10min,N,2.0,small,2000.0,500.0,0.2,0.8,0.5,1283.425,1971.499999999999,3754.833333333333,2145.458333333333,1609.375,0.25874125874125875,0.0,0.5363645833333333
cloudy,2024-04-03,SMA,20min,N,4.0,small,2000.0,500.0,0.2,0.8,0.5,698.0374999999999,1885.999999999999,5458.583333333333,3078.4375,2380.145833333333,0.3356643356643357,0.0,0.769609375
cloudy,2024-04-03,SMA,30min,N,6.0,small,2000.0,500.0,0.2,0.8,0.5,479.00833333333316,1885.999999999999,6227.208333333333,3270.458333333333,2956.7500000000005,0.35664335664335667,0.16083916083916083,0.8176145833333333
cloudy,2024-04-03,SMA,60min,N,12.0,small,2000.0,500.0,0.2,0.8,0.5,236.96666666666664,1891.5041666666664,8342.520833333332,3559.5486111111095,4782.972222222224,0.5104895104895105,0.23076923076923078,0.8898871527777774
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,small,2000.0,500.0,0.2,0.8,0.5,447.67917428273927,447.67917428273927,946.0813970231168,946.0813970231168,0.0,0.0,0.0,0.2365203492557792
medium,2025-03-15,EMA,20min,alpha,0.4,small,2000.0,500.0,0.2,0.8,0.5,294.7606459285963,294.7606459285963,1974.4253147060574,1914.2251447798099,60.20016992624738,0.022222222222222223,0.0,0.47855628619495244
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,small,2000.0,500.0,0.2,0.8,0.5,219.368593599296,320.8687656236102,2602.3036452260367,2414.6869338803763,187.61671134566043,0.05925925925925926,0.06666666666666667,0.6036717334700941
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,small,2000.0,500.0,0.2,0.8,0.5,157.78570764592442,557.3499999999999,3952.181093068792,2715.4981189310183,1236.6829741377737,0.21481481481481482,0.26666666666666666,0.6788745297327545
medium,2025-03-15,SMA,10min,N,2.0,small,2000.0,500.0,0.2,0.8,0.5,499.99999999999943,499.99999999999943,1388.1666666666665,1351.1666666666665,37.0,0.022222222222222223,0.0,0.3377916666666666
medium,2025-03-15,SMA,20min,N,4.0,small,2000.0,500.0,0.2,0.8,0.5,310.03749999999997,351.8124999999998,2482.3541666666665,2295.4166666666665,186.9375,0.06666666666666667,0.0,0.5738541666666667
medium,2025-03-15,SMA,30min,N,6.0,small,2000.0,500.0,0.2,0.8,0.5,212.06666666666646,378.5666666666661,3126.319444444444,2762.8472222222213,363.47222222222274,0.17777777777777778,0.05925925925925926,0.6907118055555553
medium,2025-03-15,SMA,60min,N,12.0,small,2000.0,500.0,0.2,0.8,0.5,139.42083333333332,545.0541666666666,4346.965277777777,2979.09722222222,1367.8680555555568,0.2518518518518518,0.2,0.744774305555555
