label,date,method,window_name,param_name,param_value,scenario,active_points,soc_min_actual,soc_max_actual,soc_span_actual,n_turning_points,n_cycles_total,dominant_dod_mid,dominant_cycle_count,damage_index,param_name_feas,param_value_feas,Ecap_kwh,Pbatt_max_kw,soc_min,soc_max,soc0,ramp_p95_kw_target,ramp_p95_kw_actual,throughput_req_kwh,throughput_act_kwh,energy_mismatch_kwh,power_limit_frac,soc_limit_frac,efc_act
medium,2025-03-15,SMA,10min,N,2.0,large,135,0.5015763888888889,0.5243888888888888,0.022812499999999902,69,66.5,0.025,66.5,0.0007732100330270149,N,2.0,6000.0,1500.0,0.2,0.8,0.5,499.9999999999994,499.9999999999994,1388.1666666666663,1388.1666666666663,0.0,0.0,0.0,0.1156805555555555
medium,2025-03-15,SMA,20min,N,4.0,large,135,0.5044340277777778,0.5726840277777775,0.0682499999999997,43,39.5,0.025,39.5,0.0004592751323995051,N,4.0,6000.0,1500.0,0.2,0.8,0.5,310.0375,310.0375,2482.3541666666665,2482.3541666666665,0.0,0.0,0.0,0.2068628472222222
medium,2025-03-15,SMA,30min,N,6.0,large,135,0.505247685185185,0.6198819444444444,0.11463425925925941,43,39.5,0.025,39.0,0.0004592751323995051,N,6.0,6000.0,1500.0,0.2,0.8,0.5,212.0666666666665,212.0666666666665,3126.319444444444,3126.319444444444,2.3684757858670005e-15,0.0,0.0,0.2605266203703703
medium,2025-03-15,SMA,60min,N,12.0,large,135,0.5060613425925926,0.7601446759259262,0.25408333333333355,27,23.5,0.025,20.5,0.0002775583169040047,N,12.0,6000.0,1500.0,0.2,0.8,0.5,139.42083333333332,139.42083333333332,4346.965277777777,4344.472222222223,2.493055555555577,0.0074074074074074,0.0,0.3620393518518519
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,small,170,0.5049012345679013,0.5775566056885545,0.07265537112065323,47,45.0,0.025,44.0,0.000523224834379183,alpha,0.6666666666666666,2000.0,500.0,0.2,0.8,0.5,173.18046220971405,173.18046220971405,316.8770839452977,316.8770839452977,0.0,0.0,0.0,0.0792192709863244
clear,2024-06-05,EMA,20min,alpha,0.4,small,170,0.51068,0.7325295478411978,0.22184954784119781,39,37.0,0.025,36.0,0.00044305822232810354,alpha,0.4,2000.0,500.0,0.2,0.8,0.5,169.1896698834399,169.1896698834399,907.5867432494864,907.5867432494864,0.0,0.0,0.0,0.2268966858123715
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,small,170,0.4711075501388722,0.8,0.32889244986112787,27,25.5,0.025,24.5,0.0003122250155478393,alpha,0.2857142857142857,2000.0,500.0,0.2,0.8,0.5,161.5538707586902,165.91662299496485,1466.205391044694,1291.807283598266,174.39810744642818,0.0,0.1823529411764705,0.3229518208995665
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,small,170,0.3401244220393875,0.8,0.45987557796061257,21,19.5,0.025,18.0,0.0002459498698598094,alpha,0.1538461538461538,2000.0,500.0,0.2,0.8,0.5,147.4278354304004,175.0,2980.7118505407057,1560.0045903873424,1420.707260153363,0.1529411764705882,0.2352941176470588,0.3900011475968356
clear,2024-06-05,SMA,10min,N,2.0,small,170,0.5049166666666673,0.5776458333333332,0.07272916666666585,53,51.5,0.025,50.5,0.0005988017549006206,N,2.0,2000.0,500.0,0.2,0.8,0.5,175.5,175.5,332.7083333333333,332.7083333333333,0.0,0.0,0.0,0.0831770833333333
clear,2024-06-05,SMA,20min,N,4.0,small,170,0.5135416666666667,0.7327083333333336,0.21916666666666695,37,35.0,0.025,34.0,0.0004198037852445843,N,4.0,2000.0,500.0,0.2,0.8,0.5,168.95,168.95,938.6666666666666,938.6666666666666,0.0,0.0,0.0,0.2346666666666666
